question_id,question_text,answer_id,answer_text,grade_level,academic_year_id,avg_knowledge_pct,student_count
2,Who is the Bread of Life? ,2,Jesus,8,2,91.89189189189189,10
4,What takes place at Mass? ,9,Bread and wine become the Body and Blood of Jesus,8,2,91.89189189189189,10
31,Stories Jesus told are called:,1621,Parables,8,2,92.49249249249249,9
31,Stories Jesus told are called:,1631,Gospels,8,2,86.48648648648648,1
36,Who or what is made in the image and likeness of God?,125,Human beings,8,2,92.49249249249249,9
36,Who or what is made in the image and likeness of God?,128,The Universe ,8,2,86.48648648648648,1
51,"What do we call the Father, the Son, and the Holy Spirit? ",1681,The Trinity ,8,2,93.91891891891892,8
51,"What do we call the Father, the Son, and the Holy Spirit? ",1711,All of these,8,2,83.78378378378379,2
60,Who calls us and is always waiting for us in prayer?,213,No one but ourselves,8,2,55.03100672911994,715
60,Who calls us and is always waiting for us in prayer?,214,The saints,8,2,61.530233249145745,635
60,Who calls us and is always waiting for us in prayer?,215,The Holy Spirit,8,2,63.95695382181136,6964
60,Who calls us and is always waiting for us in prayer?,216,The Virgin Mary ,8,2,62.3207773675508,1666
62,Which of the following is a good of marriage and helps the couple reflect God's love?,217,Personal happiness,8,2,57.614488471679415,2018
62,Which of the following is a good of marriage and helps the couple reflect God's love?,218,Total self-giving love,8,2,66.9475522895993,6265
62,Which of the following is a good of marriage and helps the couple reflect God's love?,219,Professional achievement and fulfillment,8,2,54.67082107206739,1308
62,Which of the following is a good of marriage and helps the couple reflect God's love?,220,Freedom from responsibility	,8,2,52.44115930752772,388
71,When did Jesus give us the Eucharist?,1791,At the Last Supper,8,2,91.89189189189189,10
87,How did God save us from sin?,312,He sent His Son into the world,8,2,91.89189189189189,10
88,What did Jesus come to earth to do? ,314,Save souls,8,2,91.89189189189189,10
89,_________ breaks our friendship with God. ,319,Mortal sin,8,2,92.56756756756756,8
89,_________ breaks our friendship with God. ,320,Venial sin,8,2,89.1891891891892,2
90,Who is the Lord's Prayer said to?,321,God the Father,8,2,91.89189189189189,10
91,Who is the Mother of God? ,1851,The Virgin Mary ,8,2,91.89189189189189,10
93,We should pray: ,332,Every day,8,2,91.89189189189189,10
94,Who should NOT receive communion? ,333,Someone who needs to confess a mortal sin,8,2,97.29729729729729,1
94,Who should NOT receive communion? ,334,Someone who is not Catholic,8,2,93.24324324324324,2
94,Who should NOT receive communion? ,336,All of these,8,2,90.73359073359073,7
95,What do we call a priest who is in charge of a parish church?,338,Pastor,8,2,92.49249249249249,9
95,What do we call a priest who is in charge of a parish church?,339,Deacon,8,2,86.48648648648648,1
96,Humans have a body and a soul. Our soul will live __________.,341,Forever,8,2,91.89189189189189,10
97,I am confirmed/I plan to be confirmed.,408,Yes,8,2,64.10741099770595,8269
97,I am confirmed/I plan to be confirmed.,409,No,8,2,57.596543353336266,1636
101,The season before Christmas is called ________. ,1881,Advent,8,2,92.49249249249249,9
101,The season before Christmas is called ________. ,1891,Lent,8,2,86.48648648648648,1
111,"Which season is made up of prayer, fasting, and almsgiving? ",1921,Advent,8,2,90.54054054054055,2
111,"Which season is made up of prayer, fasting, and almsgiving? ",1941,Easter,8,2,86.48648648648648,1
111,"Which season is made up of prayer, fasting, and almsgiving? ",1951,Lent,8,2,93.05019305019304,7
115,I should help everyone to show them God's love.,405,This is true,8,2,91.89189189189189,10
116,My parents bring me to Church often and we pray together.,410,Yes,8,2,65.19755161226213,5899
116,My parents bring me to Church often and we pray together.,411,No,8,2,59.83214600884921,4008
