question_id,question_text,answer_id,answer_text,grade_level,academic_year_id,avg_knowledge_pct,student_count
2,Who is the Bread of Life? ,2,Jesus,4,2,76.16707616707616,22
4,What takes place at Mass? ,9,Bread and wine become the Body and Blood of Jesus,4,2,75.54697554697555,21
4,What takes place at Mass? ,10,Bread and wine are shown as symbols for Jesus ,4,2,89.1891891891892,1
12,What word best describes God's call for us to take care of creation? ,37,Tolerance ,4,2,54.70068539281328,1174
12,What word best describes God's call for us to take care of creation? ,38,Importance,4,2,55.026891902128625,3070
12,What word best describes God's call for us to take care of creation? ,39,Stewardship ,4,2,62.20330855909854,3298
12,What word best describes God's call for us to take care of creation? ,40,Cleanliness,4,2,56.991486381896586,2524
13,Which of the following best describes the Beatitudes? ,41,Rules to avoid sin,4,2,57.48525323750763,4116
13,Which of the following best describes the Beatitudes? ,42,The 10 greatest saints who ever lived,4,2,49.346840287889506,1118
13,Which of the following best describes the Beatitudes? ,43,Everything needed to celebrate Mass,4,2,52.24361645967047,837
13,Which of the following best describes the Beatitudes? ,44,Part of Jesus’ teaching on how to be perfectly happy,4,2,61.71210805708192,3990
14,Which is NOT a Spiritual Work of Mercy? ,45,Instructing the ignorant ,4,2,55.829132480646784,2911
14,Which is NOT a Spiritual Work of Mercy? ,46,Feeding the hungry,4,2,64.11516672271516,2697
14,Which is NOT a Spiritual Work of Mercy? ,47,Admonishing the sinner,4,2,56.109278184598054,2890
14,Which is NOT a Spiritual Work of Mercy? ,48,Counseling the doubtful,4,2,53.8529066047702,1563
31,Stories Jesus told are called:,1621,Parables,4,2,84.1995841995842,13
31,Stories Jesus told are called:,1631,Gospels,4,2,64.56456456456456,9
36,Who or what is made in the image and likeness of God?,125,Human beings,4,2,73.5966735966736,13
36,Who or what is made in the image and likeness of God?,128,The Universe ,4,2,79.87987987987988,9
51,"What do we call the Father, the Son, and the Holy Spirit? ",1681,The Trinity ,4,2,79.5608108108108,16
51,"What do we call the Father, the Son, and the Holy Spirit? ",1701,The Holy Family ,4,2,59.45945945945946,3
51,"What do we call the Father, the Son, and the Holy Spirit? ",1711,All of these,4,2,74.77477477477477,3
71,When did Jesus give us the Eucharist?,1761,After He ascended,4,2,78.37837837837837,1
71,When did Jesus give us the Eucharist?,1791,At the Last Supper,4,2,76.06177606177606,21
87,How did God save us from sin?,310,He made it so we can't sin anymore,4,2,51.351351351351354,1
87,How did God save us from sin?,311,He let us give Him sacrifices,4,2,64.86486486486487,1
87,How did God save us from sin?,312,He sent His Son into the world,4,2,77.97297297297297,20
88,What did Jesus come to earth to do? ,314,Save souls,4,2,76.75675675675676,20
88,What did Jesus come to earth to do? ,315,Build a temple for Himself,4,2,83.78378378378379,1
88,What did Jesus come to earth to do? ,316,Find the Holy Grail,4,2,56.75675675675676,1
89,_________ breaks our friendship with God. ,319,Mortal sin,4,2,76.24466571834994,19
89,_________ breaks our friendship with God. ,320,Venial sin,4,2,75.67567567567568,3
90,Who is the Lord's Prayer said to?,321,God the Father,4,2,86.71171171171171,12
90,Who is the Lord's Prayer said to?,322,Jesus,4,2,58.108108108108105,2
90,Who is the Lord's Prayer said to?,323,The Holy Spirit,4,2,62.16216216216216,6
90,Who is the Lord's Prayer said to?,324,St. Peter,4,2,72.97297297297297,2
91,Who is the Mother of God? ,1851,The Virgin Mary ,4,2,76.44787644787645,21
91,Who is the Mother of God? ,1861,Anna,4,2,70.27027027027027,1
93,We should pray: ,332,Every day,4,2,76.16707616707616,22
94,Who should NOT receive communion? ,333,Someone who needs to confess a mortal sin,4,2,91.89189189189189,1
94,Who should NOT receive communion? ,334,Someone who is not Catholic,4,2,71.38314785373609,17
94,Who should NOT receive communion? ,336,All of these,4,2,92.56756756756756,4
95,What do we call a priest who is in charge of a parish church?,337,Bishop,4,2,75.67567567567568,10
95,What do we call a priest who is in charge of a parish church?,338,Pastor,4,2,82.77027027027027,8
95,What do we call a priest who is in charge of a parish church?,339,Deacon,4,2,64.1891891891892,4
96,Humans have a body and a soul. Our soul will live __________.,341,Forever,4,2,76.96267696267697,21
96,Humans have a body and a soul. Our soul will live __________.,344,If God wants it to,4,2,59.45945945945946,1
97,I am confirmed/I plan to be confirmed.,408,Yes,4,2,58.81523900359486,7734
97,I am confirmed/I plan to be confirmed.,409,No,4,2,55.12995242516664,2263
101,The season before Christmas is called ________. ,1881,Advent,4,2,81.75675675675676,16
101,The season before Christmas is called ________. ,1891,Lent,4,2,55.4054054054054,2
101,The season before Christmas is called ________. ,1901,Easter,4,2,56.75675675675676,1
101,The season before Christmas is called ________. ,1911,Ordinary Time,4,2,66.66666666666667,3
111,"Which season is made up of prayer, fasting, and almsgiving? ",1921,Advent,4,2,56.75675675675676,1
111,"Which season is made up of prayer, fasting, and almsgiving? ",1931,Triduum,4,2,64.86486486486487,1
111,"Which season is made up of prayer, fasting, and almsgiving? ",1951,Lent,4,2,77.70270270270271,20
115,I should help everyone to show them God's love.,405,This is true,4,2,58.27831054632804,9494
115,I should help everyone to show them God's love.,406,This is not true,4,2,46.67774086378738,98
115,I should help everyone to show them God's love.,407,Not sure,4,2,53.69034566333891,403
116,My parents bring me to Church often and we pray together.,410,Yes,4,2,59.274805477337125,6162
116,My parents bring me to Church often and we pray together.,411,No,4,2,55.90090335803738,3837
117,Holy Communion looks like bread and wine but is really Jesus' Body and Blood.,412,This is true,4,2,59.077878459784856,8273
117,Holy Communion looks like bread and wine but is really Jesus' Body and Blood.,413,This is not true,4,2,52.12354130538496,830
117,Holy Communion looks like bread and wine but is really Jesus' Body and Blood.,414,Not sure,4,2,52.82232846904914,801
118,Whom did God promise he would have descendants as numerous as the stars?,415,Adam,4,2,52.85244471290983,1386
118,Whom did God promise he would have descendants as numerous as the stars?,416,Noah,4,2,52.27202045682297,1346
118,Whom did God promise he would have descendants as numerous as the stars?,417,Abraham,4,2,63.90649367015495,4428
118,Whom did God promise he would have descendants as numerous as the stars?,418,Moses,4,2,53.47955092221331,2900
119,The _______ is the leader of the earthly Church.,419,Oldest bishop,4,2,49.77789391168017,890
119,The _______ is the leader of the earthly Church.,420,Pope,4,2,60.80006990336507,7186
119,The _______ is the leader of the earthly Church.,421,Parish priest,4,2,51.00358219139137,1226
119,The _______ is the leader of the earthly Church.,422,Deacon,4,2,50.081410709348404,757
120,What is the difference between mortal and venial sin?,423,"Mortal sin breaks our relationship with God, while venial sin only damages it",4,2,60.756138341137174,6272
120,What is the difference between mortal and venial sin?,424,"Mortal sin is absolute, but venial sin is relative",4,2,52.8343023255814,1056
120,What is the difference between mortal and venial sin?,425,"Mortal sin is only done by mortals, but divine beings can commit venial sins",4,2,46.86898675023366,846
120,What is the difference between mortal and venial sin?,426,"Mortal sin is done with complete consent, but venial sin can be done unwillingly",4,2,55.77819428345952,1886
121,Which is not a liturgical season?,1981,Ordinary time,4,2,78.37837837837837,1
121,Which is not a liturgical season?,1991,Fall,4,2,76.06177606177606,21
122,What is an effect of building good habits?,427,Having less control over our emotions,4,2,47.7700499891328,1070
122,What is an effect of building good habits?,428,It gets easier to do good,4,2,60.115830548765445,8295
122,What is an effect of building good habits?,429,We are more likely to sin,4,2,46.670402540394136,498
122,What is an effect of building good habits?,430,We no longer need God's grace,4,2,44.11557434813249,198
123,In which prayer do we think about the Sorrowful Mysteries?,431,The Our Father,4,2,52.132948491360125,1829
123,In which prayer do we think about the Sorrowful Mysteries?,432,The Rosary,4,2,61.83076712203591,5090
123,In which prayer do we think about the Sorrowful Mysteries?,433,The Angelus,4,2,56.00957592339261,1700
123,In which prayer do we think about the Sorrowful Mysteries?,434,The Glory Be,4,2,53.06274376527326,1437
124,What is the role of the priest in Confession?,435,Confession of sins to a priest is not necessary,4,2,41.265116279069765,250
124,What is the role of the priest in Confession?,436,The priest forgives our sins under his own power,4,2,46.83862191644649,889
124,What is the role of the priest in Confession?,437,The priest forgives our sins in Jesus' name,4,2,59.59388311241633,8789
124,What is the role of the priest in Confession?,438,The priest has no role in confession,4,2,45.348837209302324,134
125,"What are the virtues of faith, hope, and love called? ",439,Cardinal virtues,4,2,59.20057339596319,1817
125,"What are the virtues of faith, hope, and love called? ",440,Theological virtues,4,2,63.192803548480704,1683
125,"What are the virtues of faith, hope, and love called? ",441,Spiritual virtues,4,2,56.7758050419016,5427
125,"What are the virtues of faith, hope, and love called? ",442,Natural virtues,4,2,52.6660104179484,1134
127,Which is NOT a Corporal Work of Mercy?,447,Feeding the hungry,4,2,45.447255230735585,319
127,Which is NOT a Corporal Work of Mercy?,448,Sheltering the homeless,4,2,48.589668425509736,357
127,Which is NOT a Corporal Work of Mercy?,449,Bearing wrongs patiently,4,2,58.86263884844198,8944
127,Which is NOT a Corporal Work of Mercy?,450,Visiting the sick,4,2,52.985543683218104,444
128,Someone who prays for others is a/an ___________.,451,Wanderer,4,2,48.54277789630894,545
128,Someone who prays for others is a/an ___________.,452,Intercessor,4,2,61.11827190288138,5087
128,Someone who prays for others is a/an ___________.,453,Favor seeker,4,2,51.395348837209305,1300
128,Someone who prays for others is a/an ___________.,454,Neighbor,4,2,56.74151040156971,3129
129,What is virtue?,455,A habit of doing the right things,4,2,62.16049716742771,5587
129,What is virtue?,456,Memorizing the rules of Christianity,4,2,53.037364263989915,2011
129,What is virtue?,457,Another word for an angel,4,2,48.60852713178294,600
129,What is virtue?,458,One of the sacraments,4,2,52.93098073445975,1865
130,I have received First Communion.,459,Yes,4,2,58.91594342964663,8158
130,I have received First Communion.,460,No,4,2,53.62228995601686,1753
161,Before confession we should examine our _______. ,2121,Feelings,4,2,66.96696696696696,9
161,Before confession we should examine our _______. ,2131,Conscience,4,2,82.53638253638253,13
171,Our conscience helps us do ______ and avoid evil. ,2181,Sins,4,2,56.75675675675676,1
171,Our conscience helps us do ______ and avoid evil. ,2191,Good  ,4,2,77.0913770913771,21
181,The ability to choose how we act is called ___________.,2201,Moral sin,4,2,52.7027027027027,2
181,The ability to choose how we act is called ___________.,2231,Free will ,4,2,78.51351351351352,20
207,How many sacraments are there?,731,Three,4,2,54.054054054054056,1
207,How many sacraments are there?,732,Ten,4,2,51.351351351351354,1
