question_id,question_text,answer_id,answer_text,grade_level,academic_year_id,avg_knowledge_pct,student_count
2,Who is the Bread of Life? ,2,Jesus,5,2,85.13513513513513,24
2,Who is the Bread of Life? ,3,Joseph,5,2,75.67567567567568,1
4,What takes place at Mass? ,9,Bread and wine become the Body and Blood of Jesus,5,2,84.72385428907168,23
4,What takes place at Mass? ,10,Bread and wine are shown as symbols for Jesus ,5,2,85.13513513513513,2
15,How can we know that God exists? ,49,From reading the Bible,5,2,56.391099561474746,1179
15,How can we know that God exists? ,50,Learning about and getting to know Jesus,5,2,53.783338327839374,568
15,How can we know that God exists? ,51,Using our reason and seeing the order and beauty of the world,5,2,53.09197744396531,449
15,How can we know that God exists? ,52,All of these,5,2,64.73417072545502,8300
17,Which of the choices below lists these books of the Bible in correct order? ,57,"Gospel of John, Genesis, Revelation",5,2,57.76624574756386,1845
17,Which of the choices below lists these books of the Bible in correct order? ,58,"Genesis, Revelation, Gospel of John",5,2,63.87746409932045,3347
17,Which of the choices below lists these books of the Bible in correct order? ,59,"Revelation, Genesis, Gospel of John",5,2,56.895363264555854,1389
17,Which of the choices below lists these books of the Bible in correct order? ,60,"Genesis, Gospel of John, Revelation",5,2,66.09446960758193,3913
18,Jesus said the second Greatest Commandment was to love your neighbor as yourself. What did Jesus say was the Greatest Commandment?,61,You shall love one another,5,2,56.84549208871624,2169
18,Jesus said the second Greatest Commandment was to love your neighbor as yourself. What did Jesus say was the Greatest Commandment?,62,You shall have no strange gods before me,5,2,59.82336734956614,2479
18,Jesus said the second Greatest Commandment was to love your neighbor as yourself. What did Jesus say was the Greatest Commandment?,63,"You shall love the Lord your God with all your heart, soul, and mind",5,2,66.39780561939358,5740
18,Jesus said the second Greatest Commandment was to love your neighbor as yourself. What did Jesus say was the Greatest Commandment?,64,You shall baptize all nations,5,2,50.334909377462566,108
20,Which of the following statements is FALSE? ,69,Prayer is a personal relationship with God,5,2,56.845905867182466,825
20,Which of the following statements is FALSE? ,70,Prayer is an optional part of the Christian life,5,2,65.07250789784189,7826
20,Which of the following statements is FALSE? ,71,Prayer is our response of faith to God who first calls us,5,2,56.11604849880932,1367
20,Which of the following statements is FALSE? ,72,Prayer comes from our hearts,5,2,52.86723226580198,479
23,What did Jesus say about His Body and Blood?,77,Take and eat,5,2,58.67251174684756,1689
23,What did Jesus say about His Body and Blood?,78,All of the above,5,2,65.50463807451378,6287
23,What did Jesus say about His Body and Blood?,79,"My flesh is real food, my blood is real drink",5,2,54.723404255319146,600
23,What did Jesus say about His Body and Blood?,80,I am the Bread of Life,5,2,59.54347200389665,1922
24,Who actually gives/administers the Sacrament of Holy Matrimony?,81,A priest or a deacon,5,2,62.987228372574315,7505
24,Who actually gives/administers the Sacrament of Holy Matrimony?,82,The couple getting married,5,2,66.34042553191489,1350
24,Who actually gives/administers the Sacrament of Holy Matrimony?,83,The couple’s parents,5,2,48.41634429400387,176
24,Who actually gives/administers the Sacrament of Holy Matrimony?,84,A bishop only,5,2,59.59767364283746,1467
25,Which best describes the Mass?,85,It is celebrated only on Sundays,5,2,53.65048043925875,496
25,Which best describes the Mass?,86,It is the Church’s most important act of worship,5,2,64.48127373556004,8034
25,Which best describes the Mass?,87,It is chiefly a celebration of human community,5,2,58.4271381767653,1669
25,Which best describes the Mass?,88,It is always an hour long,5,2,50.91781393408427,204
30,Which person of the Trinity was present at Pentecost and still guides the Church today?,107,The Holy Spirit,5,2,78.43137254901961,1
31,Stories Jesus told are called:,1621,Parables,5,2,87.70270270270271,20
31,Stories Jesus told are called:,1631,Gospels,5,2,72.97297297297297,5
36,Who or what is made in the image and likeness of God?,125,Human beings,5,2,87.16216216216216,12
36,Who or what is made in the image and likeness of God?,128,The Universe ,5,2,82.53638253638253,13
45,Which Church season begins the liturgical year?,158,Advent,5,2,78.43137254901961,1
51,"What do we call the Father, the Son, and the Holy Spirit? ",1681,The Trinity ,5,2,86.08108108108108,20
51,"What do we call the Father, the Son, and the Holy Spirit? ",1701,The Holy Family ,5,2,75.67567567567568,1
51,"What do we call the Father, the Son, and the Holy Spirit? ",1711,All of these,5,2,80.4054054054054,4
71,When did Jesus give us the Eucharist?,1791,At the Last Supper,5,2,84.75675675675676,25
87,How did God save us from sin?,311,He let us give Him sacrifices,5,2,71.17117117117117,3
87,How did God save us from sin?,312,He sent His Son into the world,5,2,86.60933660933661,22
88,What did Jesus come to earth to do? ,314,Save souls,5,2,85.07638072855464,23
88,What did Jesus come to earth to do? ,316,Find the Holy Grail,5,2,81.08108108108108,2
89,_________ breaks our friendship with God. ,319,Mortal sin,5,2,85.87223587223588,22
89,_________ breaks our friendship with God. ,320,Venial sin,5,2,76.57657657657657,3
